LOCATION	MEASURE	TIME	Value
Russia	TONNE_CAP	1997	9.56
Russia	TONNE_CAP	1998	9.5
Russia	TONNE_CAP	1999	9.81
Russia	TONNE_CAP	2000	10.03
Russia	TONNE_CAP	2001	10.1
Russia	TONNE_CAP	2002	10.11
Russia	TONNE_CAP	2003	10.3
Russia	TONNE_CAP	2004	10.33
Russia	TONNE_CAP	2005	10.36
Russia	TONNE_CAP	2006	10.83
Russia	TONNE_CAP	2007	10.8
Russia	TONNE_CAP	2008	10.94
Russia	TONNE_CAP	2009	10.14
Russia	TONNE_CAP	2010	10.77
Russia	TONNE_CAP	2011	11.22
Russia	TONNE_CAP	2012	10.84
Russia	TONNE_CAP	2013	10.79
South_Africa	TONNE_CAP	1993	6.48
South_Africa	TONNE_CAP	1994	6.48
South_Africa	TONNE_CAP	1995	6.64
South_Africa	TONNE_CAP	1996	6.74
South_Africa	TONNE_CAP	1997	6.94
South_Africa	TONNE_CAP	1998	6.97
South_Africa	TONNE_CAP	1999	6.39
South_Africa	TONNE_CAP	2000	6.38
South_Africa	TONNE_CAP	2001	7.05
South_Africa	TONNE_CAP	2002	7.18
South_Africa	TONNE_CAP	2003	7.55
South_Africa	TONNE_CAP	2004	8.03
South_Africa	TONNE_CAP	2005	7.86
South_Africa	TONNE_CAP	2006	7.79
South_Africa	TONNE_CAP	2007	8.04
South_Africa	TONNE_CAP	2008	8.58
South_Africa	TONNE_CAP	2009	7.98
South_Africa	TONNE_CAP	2010	8.05
South_Africa	TONNE_CAP	2011	7.66
South_Africa	TONNE_CAP	2012	7.79
South_Africa	TONNE_CAP	2013	7.91
